iter	Logloss
0	0.6884218824
1	0.6846992892
2	0.6804470478
3	0.6762241928
4	0.6716783469
5	0.6672808472
6	0.6639957831
7	0.6601980252
8	0.6563766589
9	0.6525103186
10	0.6483670859
11	0.6448827193
12	0.6412765443
13	0.6374285208
14	0.6335427076
15	0.628805261
16	0.6250489034
17	0.6209495897
18	0.6181899133
19	0.6146362302
20	0.6112040715
21	0.6082181583
22	0.6041937466
23	0.6012244523
24	0.5971807918
25	0.5939189593
26	0.5906135009
27	0.5867868935
28	0.5834051745
29	0.5797823681
30	0.5776782331
31	0.5752081967
32	0.5724439701
33	0.5707611706
34	0.5674213623
35	0.5642510333
36	0.5621998906
37	0.5606166978
38	0.5581486879
39	0.5555234945
40	0.5527430457
41	0.5511561518
42	0.5483097435
43	0.5453413093
44	0.5425073981
45	0.5395104226
46	0.5370887978
47	0.535093921
48	0.5324620919
49	0.530065702
50	0.5274697725
51	0.5256376915
52	0.5226939744
53	0.5202590209
54	0.5175060014
55	0.5150969134
56	0.5130761096
57	0.5106011581
58	0.5083897185
59	0.5064678283
60	0.5038610905
61	0.501834694
62	0.4991949594
63	0.4967576116
64	0.4944839283
65	0.491929755
66	0.4897219931
67	0.4874680353
68	0.4856959749
69	0.48338796
70	0.4817161284
71	0.4797198904
72	0.4783722824
73	0.4767994842
74	0.4746550709
75	0.4730415327
76	0.4707586633
77	0.4690712114
78	0.4666028705
79	0.4646342114
80	0.4625428267
81	0.4606289523
82	0.4587032665
83	0.4576718232
84	0.4564185487
85	0.454731955
86	0.4528073875
87	0.4517428629
88	0.4502671707
89	0.4486611014
90	0.4472515674
91	0.4454879803
92	0.4438721234
93	0.4431040628
94	0.4413442615
95	0.439573541
96	0.437832144
97	0.4358834898
98	0.4342622955
99	0.4331924453
100	0.4314598215
101	0.4307200843
102	0.4292806346
103	0.4278743789
104	0.4265553059
105	0.4250854192
106	0.4239721989
107	0.422249888
108	0.4211466147
109	0.4202052387
110	0.4198397441
111	0.4179642699
112	0.4159748865
113	0.4142228701
114	0.4123983064
115	0.4109712234
116	0.4095153989
117	0.4084045407
118	0.4070735829
119	0.4057138395
120	0.4042735981
121	0.4025832091
122	0.4014187327
123	0.3998699694
124	0.3986859702
125	0.3983882009
126	0.397389045
127	0.3964258782
128	0.3952852085
129	0.3934944303
130	0.3919449028
131	0.3903188278
132	0.3890456815
133	0.3881590419
134	0.387300817
135	0.3861825423
136	0.3849519017
137	0.3838706693
138	0.3829817167
139	0.3817103954
140	0.3802651831
141	0.3789940566
142	0.3779138384
143	0.376246825
144	0.3750480836
145	0.3739931776
146	0.3730229658
147	0.3719306915
148	0.3706838814
149	0.3700589694
150	0.3690718224
151	0.3677277607
152	0.3668142041
153	0.365832793
154	0.3647509605
155	0.3638268504
156	0.3629021691
157	0.3615537693
158	0.3601675614
159	0.3590459668
160	0.3580772205
161	0.3569114539
162	0.3561145564
163	0.3550431492
164	0.3539569911
165	0.3526362815
166	0.3519053445
167	0.3507183713
168	0.3495326741
169	0.348601529
170	0.3478077323
171	0.3464456797
172	0.3455119806
173	0.3446285478
174	0.343468124
175	0.3430162227
176	0.342374234
177	0.3422002776
178	0.3414762384
179	0.3401758453
180	0.3397173463
181	0.3388977103
182	0.3379223651
183	0.3371813275
184	0.336888961
185	0.3357594825
186	0.3350316411
187	0.3339622721
188	0.3333954511
189	0.3321844463
190	0.3318178706
191	0.3310973927
192	0.3300926282
193	0.3293826803
194	0.3287322356
195	0.3276138859
196	0.3268063708
197	0.3259826865
198	0.3250021011
199	0.3246580683
200	0.3238982552
201	0.3230334993
202	0.3218598909
203	0.3211197309
204	0.3207440653
205	0.319946473
206	0.3191743216
207	0.3183277024
208	0.3175780977
209	0.3167502932
210	0.3161682695
211	0.315332391
212	0.3147977185
213	0.3140383444
214	0.3134156803
215	0.3124250725
216	0.3119031866
217	0.3111628444
218	0.3106289626
219	0.3096438958
220	0.308757197
221	0.3080644607
222	0.3077284178
223	0.3068237523
224	0.3060865506
225	0.3053260712
226	0.3049830546
227	0.3043830054
228	0.303652688
229	0.3029136285
230	0.3023233113
231	0.3019126439
232	0.3011656509
233	0.3004941934
234	0.2999038504
235	0.2989374141
236	0.2983051607
237	0.2973947736
238	0.2966948952
239	0.2958804026
240	0.2953488947
241	0.2947417223
242	0.2940496626
243	0.2932209038
244	0.2924235448
245	0.2919598138
246	0.291494335
247	0.2908996751
248	0.2905064282
249	0.2898832021
250	0.2892827766
251	0.288636515
252	0.2879287478
253	0.2872203753
254	0.2866838884
255	0.286020105
256	0.2853212678
257	0.2846211163
258	0.2841677611
259	0.2836010687
260	0.2830724991
261	0.2825041587
262	0.2819186698
263	0.2812887827
264	0.2805886475
265	0.2800103034
266	0.2792622692
267	0.278767444
268	0.2780206066
269	0.2773174164
270	0.2768602276
271	0.2764747048
272	0.2760350275
273	0.2757365583
274	0.2754042599
275	0.2748379128
276	0.274578231
277	0.2739180289
278	0.2734328817
279	0.2728267371
280	0.2722132188
281	0.2715881811
282	0.2710644259
283	0.2706832688
284	0.2700916162
285	0.2694722247
286	0.268954245
287	0.268394151
288	0.2678941856
289	0.2675461076
290	0.2670631812
291	0.2663277488
292	0.2658531523
293	0.2653164472
294	0.264642146
295	0.2641412792
296	0.2636674772
297	0.2632605612
298	0.2626313077
299	0.2624862096
300	0.2620969129
301	0.2616634632
302	0.261131032
303	0.2604132344
304	0.2599922938
305	0.2597564605
306	0.2591276324
307	0.2584746597
308	0.2581753138
309	0.257666691
310	0.2573674846
311	0.2568757453
312	0.2566434076
313	0.2560432203
314	0.2553798856
315	0.2549712438
316	0.2544299821
317	0.2540809744
318	0.2537608539
319	0.2533680038
320	0.2528447638
321	0.2524575284
322	0.2520433234
323	0.2513768244
324	0.2509293507
325	0.250377661
326	0.2501442762
327	0.2497328791
328	0.2492150792
329	0.2489656194
330	0.2485583099
331	0.2480636972
332	0.2477887265
333	0.2474850144
334	0.2469451302
335	0.2463614138
336	0.2458106068
337	0.2453765901
338	0.2450810047
339	0.244543267
340	0.2444972053
341	0.2440022092
342	0.2436682107
343	0.2432818876
344	0.2427988643
345	0.2420939925
346	0.2416285958
347	0.2413823791
348	0.2410782821
349	0.2406212735
350	0.240382978
351	0.23967475
352	0.2394748002
353	0.2390714872
354	0.2388158076
355	0.2382696777
356	0.2379337251
357	0.237723933
358	0.2371700158
359	0.2367061405
360	0.2363905759
361	0.2360849867
362	0.235940426
363	0.2355967825
364	0.2352189474
365	0.2348177803
366	0.2343458794
367	0.2338760021
368	0.2335118042
369	0.2331533682
370	0.2327980875
371	0.2325471643
372	0.2320823258
373	0.231615029
374	0.2312567039
375	0.2309665245
376	0.2305487103
377	0.2302362615
378	0.2298493669
379	0.229470501
380	0.2289191757
381	0.2284711308
382	0.228275245
383	0.2280230009
384	0.2278448243
385	0.2276389838
386	0.2272837687
387	0.226942853
388	0.2264794838
389	0.226088206
390	0.2257320093
391	0.2253825173
392	0.2250201455
393	0.2247848091
394	0.224561157
395	0.2242187194
396	0.2239822231
397	0.2236989465
398	0.2235183463
399	0.2230595965
400	0.2227510669
401	0.2224446176
402	0.2220862168
403	0.2216682583
404	0.2212573824
405	0.2210519465
406	0.2206643834
407	0.2204109865
408	0.2199870378
409	0.2197389259
410	0.2194103223
411	0.2192344602
412	0.2189914256
413	0.2188486136
414	0.2183328567
415	0.2179774004
416	0.2174186033
417	0.2168941308
418	0.2167618245
419	0.2164390608
420	0.2161195792
421	0.2157739292
422	0.2154251188
423	0.2152802063
424	0.2151493884
425	0.2147988043
426	0.2145900343
427	0.2145616655
428	0.2141953778
429	0.213731451
430	0.2134406486
431	0.2130803529
432	0.2127306187
433	0.2124361985
434	0.2121918405
435	0.2117953431
436	0.2115264701
437	0.2114720054
438	0.2110566133
439	0.2106894143
440	0.210300898
441	0.2100870301
442	0.2096908694
443	0.2095228044
444	0.2092186308
445	0.208823655
446	0.2086836963
447	0.2083092395
448	0.2080789166
449	0.2078829423
450	0.2077080929
451	0.2073887797
452	0.2071468377
453	0.2068551278
454	0.2064547016
455	0.2062673872
456	0.206127371
457	0.2057085848
458	0.2053246324
459	0.2049620018
460	0.2045728382
461	0.204317809
462	0.2038485009
463	0.2035839458
464	0.2032158449
465	0.2028198576
466	0.2025824069
467	0.2022489781
468	0.2020143009
469	0.2016579765
470	0.2013781172
471	0.2011220691
472	0.2009132233
473	0.2007324275
474	0.2005490288
475	0.2001918242
476	0.1998944821
477	0.1996889486
478	0.199315076
479	0.1989393029
480	0.1985244378
481	0.1983377389
482	0.1981127679
483	0.1977740908
484	0.1974380956
485	0.1972434018
486	0.1971477149
487	0.1969987746
488	0.1968648454
489	0.1964348393
490	0.1962840613
491	0.1959970959
492	0.1957025884
493	0.1955694693
494	0.1953952552
495	0.1950399751
496	0.1947468764
497	0.1945522071
498	0.1943764846
499	0.194025147
500	0.1937778744
501	0.193471023
502	0.1932006185
503	0.1928386083
504	0.1926001878
505	0.1924010334
506	0.1920761771
507	0.1919133786
508	0.1915182013
509	0.1912839326
510	0.1911049945
511	0.190781178
512	0.1907129016
513	0.190457425
514	0.1900421773
515	0.1898838146
516	0.1896718065
517	0.189497543
518	0.1891322987
519	0.1888891213
520	0.1886605218
521	0.1882819293
522	0.1879103588
523	0.1876983329
524	0.1873620606
525	0.1872113571
526	0.1869435454
527	0.1867205758
528	0.1864837196
529	0.1861920708
530	0.1859057744
531	0.1855492101
532	0.1853846572
533	0.1848786137
534	0.1847219951
535	0.1845288791
536	0.1842169407
537	0.1840775084
538	0.1838167601
539	0.1833459471
540	0.182985955
541	0.1828049005
542	0.1825574858
543	0.1824638397
544	0.182099625
545	0.1818372154
546	0.1815645237
547	0.1813658258
548	0.1810980236
549	0.1807709171
550	0.1804221804
551	0.1800694518
552	0.179960272
553	0.1796782346
554	0.1795037847
555	0.1791342598
556	0.179066762
557	0.1787021237
558	0.1784697539
559	0.1782167811
560	0.1781041375
561	0.1779690885
562	0.177691368
563	0.1774607497
564	0.1771881639
565	0.1770474645
566	0.1768181852
567	0.1765420569
568	0.1763250659
569	0.1760322789
570	0.1757641728
571	0.1754087256
572	0.1751395665
573	0.1749395719
574	0.1747538599
575	0.1745199085
576	0.1742042646
577	0.1738340368
578	0.1736563758
579	0.1734342028
580	0.1730258308
581	0.1727580151
582	0.172513243
583	0.1723444149
584	0.1721915624
585	0.1720101627
586	0.1716866444
587	0.1715266309
588	0.171385547
589	0.1710947918
590	0.1708467086
591	0.1706714561
592	0.1704347231
593	0.1700938572
594	0.1699998661
595	0.1697974395
596	0.1696125615
597	0.1695729135
598	0.1693371112
599	0.1692268989
600	0.1691468261
601	0.1689635826
602	0.1686351433
603	0.1683738703
604	0.1681889821
605	0.1680077064
606	0.1677376966
607	0.1676204974
608	0.1675041036
609	0.1671551292
610	0.1671135661
611	0.1669803447
612	0.1668548857
613	0.1665931473
614	0.1663616475
615	0.166112732
616	0.1659293084
617	0.1658495342
618	0.1657120492
619	0.1654821453
620	0.1653201939
621	0.1650089389
622	0.1648093964
623	0.1646300461
624	0.1643549552
625	0.1640659017
626	0.1638388554
627	0.1636262297
628	0.1633786715
629	0.1630748903
630	0.162785961
631	0.1626501047
632	0.1622232128
633	0.1619683837
634	0.1616989729
635	0.1615641459
636	0.1612695165
637	0.1611546106
638	0.1610592591
639	0.1609504627
640	0.1607560947
641	0.160548564
642	0.1602481319
643	0.1600716567
644	0.1598147479
645	0.1596441472
646	0.1595233215
647	0.1593869166
648	0.1592368893
649	0.1589424436
650	0.1587451686
651	0.1585819524
652	0.1583509085
653	0.1581090339
654	0.1579869136
655	0.1577991887
656	0.1575755213
657	0.1572687609
658	0.157096085
659	0.1567846773
660	0.156608554
661	0.1564884346
662	0.1563095154
663	0.1560765482
664	0.1558256444
665	0.1556055538
666	0.1554083717
667	0.1552606128
668	0.1551122982
669	0.155017458
670	0.1547660954
671	0.1546316426
672	0.1543918881
673	0.1542864876
674	0.1541635035
675	0.1540624802
676	0.1538702172
677	0.1536402946
678	0.1535085608
679	0.153298968
680	0.1531505909
681	0.1530191843
682	0.1527739584
683	0.1525751012
684	0.1523523104
685	0.1520158686
686	0.1516476226
687	0.1514887552
688	0.1512332549
689	0.1510674909
690	0.1509698382
691	0.1507374825
692	0.1506512255
693	0.1504298149
694	0.1502645993
695	0.1500966057
696	0.1498462503
697	0.1496598357
698	0.1494506118
699	0.1494410976
700	0.1493661212
701	0.1491755436
702	0.1489936464
703	0.1487278656
704	0.1485929994
705	0.148461692
706	0.1483623461
707	0.1481695971
708	0.1479451359
709	0.1477039946
710	0.1474633373
711	0.1472642955
712	0.1470674916
713	0.1470008366
714	0.1468556368
715	0.1467600405
716	0.1464833196
717	0.146255114
718	0.1460497815
719	0.145758823
720	0.1455598998
721	0.1454410182
722	0.145284787
723	0.1451278975
724	0.1449805035
725	0.1448067053
726	0.1446343277
727	0.1445055062
728	0.1443395426
729	0.1441348042
730	0.1440498219
731	0.1439401036
732	0.1436774418
733	0.1434708591
734	0.1433030265
735	0.1430588316
736	0.1428574961
737	0.1427386337
738	0.1425946874
739	0.1423947183
740	0.1421848443
741	0.1419284138
742	0.1417436881
743	0.1415807095
744	0.1413846987
745	0.1413048672
746	0.1410806133
747	0.1409041374
748	0.1407720073
749	0.1405258546
750	0.1403464141
751	0.1401728318
752	0.1398975326
753	0.1397434404
754	0.1395690999
755	0.1392868422
756	0.1392357695
757	0.1391223139
758	0.1390405718
759	0.138884106
760	0.1387690621
761	0.1386842251
762	0.1385086114
763	0.1382353194
764	0.1381039596
765	0.1379492827
766	0.1378239579
767	0.1377583784
768	0.1376205797
769	0.137495188
770	0.1372894293
771	0.1370974764
772	0.1369155336
773	0.1366199119
774	0.1364508737
775	0.136297372
776	0.1362117303
777	0.1361790726
778	0.1359626306
779	0.1357029695
780	0.1355830221
781	0.1354794799
782	0.1353910372
783	0.1351965027
784	0.1350559221
785	0.1349489548
786	0.1349225334
787	0.1346506889
788	0.1345083989
789	0.1343839337
790	0.1342481045
791	0.1341587712
792	0.1340349643
793	0.1338994218
794	0.1336860699
795	0.1336015911
796	0.1334253569
797	0.133224639
798	0.1330072237
799	0.1328775242
800	0.1327155407
801	0.1325859313
802	0.1324659386
803	0.1321868116
804	0.132039931
805	0.1318821508
806	0.1316556569
807	0.131561172
808	0.1314291952
809	0.131361802
810	0.1312124744
811	0.1310584876
812	0.130858618
813	0.130793551
814	0.1305830993
815	0.1304437351
816	0.1302981162
817	0.1302370109
818	0.1300776596
819	0.1299201718
820	0.1296712244
821	0.129549351
822	0.1294479629
823	0.1291380918
824	0.1289627471
825	0.1288438752
826	0.1287441326
827	0.128680218
828	0.1285093438
829	0.1283655496
830	0.1282871626
831	0.1281096307
832	0.1278885827
833	0.1276895314
834	0.1274980156
835	0.1273755188
836	0.1272935749
837	0.1270482226
838	0.1269586805
839	0.1268197382
840	0.1267504902
841	0.126572527
842	0.1263457974
843	0.1262174203
844	0.1260174978
845	0.1258430908
846	0.1256893882
847	0.1254398408
848	0.1252930376
849	0.1250773675
850	0.124922766
851	0.1247321452
852	0.1246216364
853	0.1245101721
854	0.1242668371
855	0.1241820855
856	0.1240365927
857	0.123867607
858	0.123740044
859	0.1235777761
860	0.1234006206
861	0.1231670899
862	0.1229331596
863	0.1227329275
864	0.1226496888
865	0.1223937135
866	0.122242047
867	0.1220760932
868	0.1219545343
869	0.1217850749
870	0.1215689112
871	0.121496107
872	0.1213314388
873	0.121168604
874	0.1210148099
875	0.120958042
876	0.1208999115
877	0.1207555888
878	0.1205692628
879	0.1205091769
880	0.120440075
881	0.1203387218
882	0.1201901772
883	0.1200906079
884	0.1199351642
885	0.1197389495
886	0.1195639634
887	0.1194203157
888	0.1193072976
889	0.1191582265
890	0.1189901505
891	0.1188383834
892	0.1186287124
893	0.1184102209
894	0.1182495641
895	0.1180808624
896	0.1179468597
897	0.1177292492
898	0.1176394875
899	0.1174622415
900	0.1173362598
901	0.1171876819
902	0.1170180363
903	0.1169921364
904	0.116843344
905	0.1167147021
906	0.1165727278
907	0.1164528204
908	0.1162042598
909	0.1160309292
910	0.115910497
911	0.1158198367
912	0.1156171278
913	0.1154151163
914	0.1152010103
915	0.1149800876
916	0.114869698
917	0.11474961
918	0.1145555953
919	0.1144583385
920	0.114338826
921	0.1141902702
922	0.1141101926
923	0.1139412679
924	0.1138214648
925	0.1136710247
926	0.113523407
927	0.1133316934
928	0.113193381
929	0.1130751366
930	0.1129859721
931	0.1127993036
932	0.1126122531
933	0.1124582887
934	0.1124220849
935	0.1122122029
936	0.1121434512
937	0.1120468777
938	0.1119567376
939	0.1118173171
940	0.1116180379
941	0.1115276185
942	0.1113526449
943	0.1111999481
944	0.1110753162
945	0.1109783137
946	0.1107846519
947	0.1106468004
948	0.1105324429
949	0.1104533091
950	0.1103039559
951	0.1101347073
952	0.1099756936
953	0.1098640429
954	0.1097627387
955	0.1096428056
956	0.1096115527
957	0.1094982836
958	0.1093677729
959	0.1092845726
960	0.1091237536
961	0.1089827312
962	0.1088582813
963	0.1087580847
964	0.1086184574
965	0.1083969957
966	0.1082273658
967	0.1081591001
968	0.1080794139
969	0.1080102055
970	0.1079081857
971	0.1077906177
972	0.1076431006
973	0.10742903
974	0.1072535838
975	0.1070567359
976	0.1069158306
977	0.1068811567
978	0.1067147991
979	0.1066399317
980	0.1064397726
981	0.1062854945
982	0.1062485764
983	0.1060985164
984	0.1060127989
985	0.1058541243
986	0.1057072683
987	0.1055392237
988	0.1053053076
989	0.1052014695
990	0.1050899821
991	0.105049956
992	0.1048896922
993	0.1048020296
994	0.1046611564
995	0.104594551
996	0.1043943266
997	0.1042829027
998	0.1041663238
999	0.1041315047
